Algorithm,10x10,20x20,30x30,40x40,50x50,100x100
DungeonAldousBroder,0.00045108795166015625,0.0037071704864501953,0.019130229949951172,0.021433353424072266,0.03204703330993652,0.17608976364135742
DungeonPrim,0.0004956722259521484,0.001251220703125,0.003172636032104492,0.005221366882324219,0.007552385330200195,0.034361839294433594
DungeonBinaryTree,0.0001513957977294922,0.00047206878662109375,0.0013349056243896484,0.0016472339630126953,0.0024421215057373047,0.009555578231811523
DungeonDFS,0.0002219676971435547,0.0015594959259033203,0.0023679733276367188,0.0031812191009521484,0.005601406097412109,0.062380075454711914
DungeonKruskal,0.00021767616271972656,0.0013747215270996094,0.0054013729095458984,0.009455680847167969,0.012824535369873047,0.1783308982849121
DungeonEller,0.0003368854522705078,0.0016002655029296875,0.006819486618041992,0.01643061637878418,0.03773903846740723,0.6035726070404053
